MSvalues,timepoints
-0.711058431206,0
4.15546437712,1
2.30436253044,2
1.56328934813,3
0.138067286236,4
-0.561893713789,5
-0.684169410691,6
-0.765866438641,7
0.481730169971,8
-0.492839124556,9
-0.0991106599127,10
-0.844664015934,11
-0.280425668018,12
-0.660976636433,13
0.215563893969,14
3.21306364605,15
0.630375529016,16
5.1906655446,17
-0.473855006128,18
3.50822906115,19
2.34654637193,20
1.3292839147,21
-0.224018407398,22
-0.352617768607,23
0.91289979221,24
-0.0922398420385,25
-0.293583862027,26
8.03617786412e-06,27
-0.0785265162113,28
1.31454396818,29
3.62631386026,30
1.48848063874,31
4.19977660995,32
-0.18921238874,33
2.76190490318,34
-0.442736998113,35
1.90382012513,36
0.498627075118,37
-0.711282851672,38
-0.809047561441,39
-0.283022202517,40
-0.786646178162,41
0.0110885393339,42
-0.0410917926883,43
-0.519679503479,44
0.942447886414,45
0.599846624724,46
2.87577512712,47
2.68181047413,48
1.6919556237,49
2.63121086516,50
0.0711874136774,51
1.43579561803,52
-0.458526985341,53
0.597740109224,54
-0.393695464262,55
-0.703081467502,56
-0.3357067085,57
-0.389468535665,58
-0.715994137285,59
-0.752889685491,60
-0.708878052548,61
-0.685686307742,62
2.9474820986,63
0.321573482242,64
3.5209448483,65
1.5465061974,66
1.67616795274,67
1.03102319576,68
0.554543802012,69
0.397474439871,70
-0.243980762285,71
-0.73469155342,72
-0.136445526623,73
-0.323558149226,74
-0.782907467023,75
-0.218668861744,76
0.415419841554,77
4.11551650469,78
0.349008626872,79
3.31857317817,80
0.268893094066,81
1.66565313328,82
-0.281904217993,83
0.876088916405,84
-0.475868870977,85
-0.233939233237,86
-0.824256423196,87
0.254675336916,88
-0.631344641918,89
-0.0958318563124,90
-0.281890320395,91
-0.621328849161,92
1.67411393927,93
-0.686410269635,94
4.51190944764,95
-0.825821961838,96
3.17945359288,97
1.4464172431,98
0.669503185826,99
-0.38201942331,100
-0.830287980588,101
0.279478173601,102
-0.697726517226,103
-0.0156856973185,104
-0.512720924849,105
-0.215434324566,106
2.58493804161,107
-0.374084667124,108
4.13876821505,109
2.46265668272,110
1.84386640347,111
0.663209375619,112
-0.436277188822,113
-0.354566778,114
0.407063524906,115
-0.0520219958991,116
-0.673447928809,117
-0.81574517407,118
0.0723838938923,119
0.225764215939,120
3.5126304818,121
-0.38775552807,122
3.53371468166,123
1.96512731838,124
-0.785435542986,125
1.26094994164,126
0.536743553016,127
-0.66763178418,128
-0.753532063339,129
0.142503193525,130
-0.818625837233,131
0.515675824388,132
